PLAYER_NAME,Anatomical sub-areas,TEAM_ABBREVIATION (groups),Average of recovery_time, Sum of team_losses ,Count of SEASON_ID, Avg Cost per Season , Average of salaries INF ,Avg Cost per Seasons
Gordon Hayward,Foot area,CHA & CHH,159.33," $35,449,693.20 ",2," $17,724,846.60 "," $34,628,772.70 "," $8,862,423.30 "
Pau Gasol,Knee area,LAL,119.5," $8,856,200.90 ",1," $8,856,200.90 "," $21,156,480.00 "," $8,856,200.90 "
Derrick Jones Jr.,"Hand, Thumb & Fingers area",POR,330," $8,851,740.00 ",1," $8,851,740.00 "," $10,674,157.00 "," $8,851,740.00 "
Chris Kaman,Foot area,LAC,101," $8,837,169.10 ",1," $8,837,169.10 "," $14,788,732.00 "," $8,837,169.10 "
Miles Plumlee,Knee area,ATL,40," $8,786,365.20 ",1," $8,786,365.20 "," $15,662,651.00 "," $8,786,365.20 "
Tyson Chandler,Cranial area,PHX,280," $8,739,837.60 ",1," $8,739,837.60 "," $16,666,667.00 "," $8,739,837.60 "
Mirza Teletovic,Unclassified,MIL,-1," $8,739,076.10 ",1," $8,739,076.10 "," $12,345,679.00 "," $8,739,076.10 "
Richard Jefferson,"Hand, Thumb & Fingers area",BKN & NJN,125," $8,702,622.40 ",1," $8,702,622.40 "," $17,840,376.00 "," $8,702,622.40 "
Shandon Anderson,Unclassified,NYK,17," $8,669,969.50 ",1," $8,669,969.50 "," $10,937,500.00 "," $8,669,969.50 "
Jeff Teague,Foot area,MIN,128," $8,654,128.60 ",1," $8,654,128.60 "," $22,891,566.00 "," $8,654,128.60 "
Vince Carter,Thoracolumbar area,TOR,82," $8,622,462.70 ",1," $8,622,462.70 "," $18,129,280.50 "," $8,622,462.70 "
Dennis Schroder,COVID-19,ATL,73," $8,564,814.70 ",1," $8,564,814.70 "," $20,833,333.00 "," $8,564,814.70 "
Raymond Felton,Foot area,DEN,70," $8,561,643.90 ",1," $8,561,643.90 "," $16,891,892.00 "," $8,561,643.90 "
Hedo Turkoglu,Thoracolumbar area,LAC,281," $8,549,555.90 ",1," $8,549,555.90 "," $13,766,234.00 "," $8,549,555.90 "
Charles Oakley,Shoulder area,CHI,345," $8,531,653.10 ",1," $8,531,653.10 "," $9,453,993.90 "," $8,531,653.10 "
